"rank","full_name","stars","forks","open_issues","language","license","updated_at","pushed_at","description","html_url","topics"
"38","hakluke/hakrawler","5073","537","9","Go","GPL-3.0","2026-06-22T15:03:04Z","2024-12-21T20:40:03Z","Simple, fast web crawler designed for easy, quick discovery of endpoints and assets within a web application","https://github.com/hakluke/hakrawler","bugbounty; crawling; hacking; osint; pentesting; recon; reconnaissance"
"39","khast3x/h8mail","5057","581","35","Python","NOASSERTION","2026-06-24T08:25:43Z","2023-08-15T10:50:34Z","Email OSINT & Password breach hunting tool, locally or using premium services. Supports chasing down related email","https://github.com/khast3x/h8mail","breach; breach-compilation; email; hacking; haveibeenpwned; hibp; kali; leak; osint; password; recon; theharvester"
"40","may215/awesome-termux-hacking","4633","370","67",,"","2026-06-24T07:07:26Z","2023-12-14T06:23:37Z","⚡️An awesome list of the best Termux hacking tools ","https://github.com/may215/awesome-termux-hacking","android; awesome-list; hacking-tools; osint; penetration-testing; termux-hacking; wifi-security"
"41","intelowlproject/IntelOwl","4605","647","70","Python","AGPL-3.0","2026-06-23T07:07:59Z","2026-06-24T13:58:31Z","IntelOwl: manage your Threat Intelligence at scale","https://github.com/intelowlproject/IntelOwl","cyber-security; cyber-threat-intelligence; cybersecurity; dfir; enrichment; hacktoberfest; honeynet; incident-response; intel-owl; ioc; malware-analysis; malware-analyzer; osint; osint-python; python; security-tools; threat-hunting; threat-intelligence; threathunting; threatintel"
"42","DedSecInside/TorBot","4150","681","10","Python","NOASSERTION","2026-06-23T22:34:30Z","2026-01-08T06:16:42Z","Dark Web OSINT Tool","https://github.com/DedSecInside/TorBot","algorithm; crawler; dark-web; dedsec-inside; deepweb; go; hacking; hacktoberfest; osint; projects; psnappz; python; python-web-crawler; python3; security; security-tools; spider; tor; tor-network; torbot"
"43","ivre/ivre","4066","694","54","Python","GPL-3.0","2026-06-24T11:58:02Z","2026-06-24T11:57:54Z","Network recon framework. Build your own, self-hosted and fully-controlled alternatives to Shodan / ZoomEye / Censys and GreyNoise, run your Passive DNS service, build your taylor-made EASM tool, collect and analyse network intelligence from your sensors, and much more! Uses Nmap, Masscan, Zeek, p0f, ProjectDiscovery tools, etc.","https://github.com/ivre/ivre","bro; easm; external-attack-surface-management; hacktoberfest; masscan; network; network-discovery; network-recon; network-reconnaissance; network-security; nmap; nmap-parser; nmap-results-analyse; nmap-scripts; osint; projectdiscovery; scan-ports; scans; security; zeek"
"44","megadose/toutatis","4027","1274","274","Python","GPL-3.0","2026-06-24T05:15:50Z","2024-12-05T21:46:49Z","Toutatis is a tool that allows you to extract information from instagrams accounts such as e-mails, phone numbers and more","https://github.com/megadose/toutatis","information-gathering; instagram; instagram-scraper; open-source-intelligence; osint; osint-tools; python"
"45","giuliacassara/awesome-social-engineering","4026","474","8",,"","2026-06-24T13:37:09Z","2023-04-05T10:31:18Z","A curated list of awesome social engineering resources.","https://github.com/giuliacassara/awesome-social-engineering","awesome-list; infosec; osint; psychology; social-engineering"
"46","eth0izzle/shhgit","3967","480","35","JavaScript","MIT","2026-06-21T05:04:42Z","2025-02-28T15:41:48Z","Ah shhgit! Find secrets in your code. Secrets detection for your GitHub, GitLab and Bitbucket repositories.","https://github.com/eth0izzle/shhgit","cyint; github; github-api; golang; osint; secret; secrets; secrets-management; security"
"47","snooppr/snoop","3952","446","1","Python","NOASSERTION","2026-06-23T09:51:47Z","2026-06-23T05:31:36Z","Snoop — инструмент разведки на основе открытых данных (OSINT world)","https://github.com/snooppr/snoop","blueteam; ctf; geo; geocoder; infosec; ip; nickname; osint; parser; pentest; police; redteam; scanner; scraping; security; termux; username; username-checker; username-search; web-scraping"
